AirportID,Name,City,Country,IATA,ICAO,Start_Latitude,Start_Longitude,Altitude,TimeZone,Type,Final_Longitude,Final_Latitude
7527,Lintsang Airfield,Lincang,China,LNJ,ZPLC,23.738100051900002,100.025001526,6230,8.0,airport,114.208,30.7838
7862,Tengchong Tuofeng Airport,Tengchong,China,TCZ,ZUTC,24.9380555556,98.4858333333,6250,8.0,airport,114.208,30.7838
7894,Yushu Batang Airport,Yushu,China,YUS,ZYLS,32.8363888889,97.03638888889999,12816,8.0,airport,114.208,30.7838
8043,Zhongwei Shapotou Airport,Zhongwei,China,ZHY,ZLZW,37.573125,105.154454,8202,8.0,airport,114.208,30.7838
8082,Baise Youjiang Airport,Baise,China,AEB,ZGBS,23.7206001282,106.959999084,490,8.0,airport,114.208,30.7838
8233,Kanas Airport,Burqin,China,KJI,ZWKN,48.2223,86.9959,3921,8.0,airport,114.208,30.7838
8407,Handan Airport,Handan,China,HDG,ZBHD,36.5258333333,114.425555556,229,8.0,airport,114.208,30.7838
8417,Jixi Xingkaihu Airport,Jixi,China,JXA,ZYJX,45.293,131.19299999999998,760,8.0,airport,114.208,30.7838
8442,Shigatse Air Base,Shigatse,China,RKZ,ZURK,29.3519,89.311401,3782,8.0,airport,114.208,30.7838
8630,Bayannur Tianjitai Airport,Bayannur,China,RLK,ZBYZ,40.926,107.7428,3400,8.0,airport,114.208,30.7838
8826,Changbaishan Airport,Baishan,China,NBS,ZYBS,42.066944,127.602222,2874,8.0,airport,114.208,30.7838
8845,Lingling Airport,Yongzhou,China,LLF,ZGLG,26.338661,111.61004299999999,340,8.0,airport,114.208,30.7838
8876,Yangzhou Taizhou Airport,Yangzhou,China,YTY,ZSYA,32.5634,119.7198,7,8.0,airport,114.208,30.7838
8889,Tianshui Maijishan Airport,Tianshui,China,THQ,ZLTS,34.559398651100004,105.86000061,3590,8.0,airport,114.208,30.7838
8926,Turpan Jiaohe Airport,Turpan,China,TLQ,ZWTP,43.0308,89.0987,934,8.0,airport,114.208,30.7838
8971,Guyuan Liupanshan Airport,Guyuan,China,GYU,ZLGY,36.078888888899996,106.21694444399999,5696,8.0,airport,114.208,30.7838
8979,Jiagedaqi Airport,Jiagedaqi District,China,JGD,ZYJD,50.371389,124.1175,1205,8.0,airport,114.208,30.7838
